,SCH13,GZH24,YNH21,SCH27,YNH11,SCH1,SCH21,SCH12,SCH10,YNH25,YGH41,YGH40,SCH23,YNH5,GZH11,SCH15,GZH12,YNH12,SCH8,SCH30,GZH30,SCH24,GZH19,YNH22,GZH17,SCH11,GZH35,SCH25,YGH12,YNH8,YNH15,YNH16,GZH23,SCH4,YGH28,SCH28,YNH6,GZH28,YNH10,GZH25,YGH49,SCH2,YNH27,YGH19,GZH20,SCH16,YGH44,GZH13,YNH29,YNH28,YGH30,SCH14,GZH5,GZH31,SCH18,YNH9,YNH19,YNH14,YNH26,YGH10,YNH20,YNH23,YNH7,YGH43,GZH15,YNH3,SCH9,GZH10,SCH20,GZH33,SCH17,YGH31,YGH7,SCH7,YNH24,YNH1,SCH26,YNH4,YGH38,SCH6,GZH34,YGH45,YGH6,YNH18,YGH17,GZH29,GZH16,SCH29,YGH14,YGH11,SCH19,GZH32,YGH26,YGH48,YGH20,YGH16,GZH36,YNH13,GZH27,YGH1,YGH37,SCH5,YGH27,GZH22,GZH18,YGH39,YNH17,YGH34,GZH6,GZH1,YGH47,GZH26,SCH22,GZH14,SCH3,YNH2,GZH21,YGH35,YGH25
d__Bacteria;k__unclassified_d__Bacteria;p__Firmicutes,0.916169637,0.669170473,0.869295535,0.928983633,0.752569307,0.630745836,0.837657832,0.782330181,0.946621918,0.843912649,0.445743452,0.680818887,0.867552374,0.790120056,0.878928584,0.846464326,0.941615897,0.848797875,0.867486214,0.873069233,0.8754265,0.893585152,0.749384188,0.859270819,0.481439052,0.841751563,0.900639078,0.854791622,0.705584457,0.843012915,0.823203765,0.757289851,0.887082986,0.818266573,0.824190386,0.606600136,0.881693051,0.759868427,0.838888157,0.835349998,0.561934628,0.874759295,0.717397264,0.46917864,0.846697339,0.87447521,0.723923945,0.941039235,0.833045027,0.713649822,0.737199571,0.902572102,0.873390307,0.921127457,0.700450716,0.960212312,0.899026312,0.753849842,0.793314028,0.381067276,0.764402343,0.897813318,0.876739097,0.686452852,0.87239425,0.880378661,0.763367714,0.8593753,0.747683301,0.827464452,0.720463361,0.63413545,0.402033987,0.726574937,0.773024021,0.882084866,0.847537022,0.697813998,0.594141999,0.737098445,0.864186828,0.664455348,0.533838685,0.839538929,0.670296865,0.888558297,0.804655678,0.735936929,0.454253141,0.460831311,0.808155073,0.956377112,0.763797285,0.701922575,0.87638313,0.380491273,0.851264594,0.750973939,0.871517545,0.665178306,0.489726003,0.658753373,0.418298307,0.897144805,0.902695696,0.512271642,0.825252474,0.49353089,0.702949808,0.780859963,0.101339989,0.913643902,0.715164608,0.487015076,0.75950646,0.679592504,0.897485835,0.599006667,0.851071721
d__Bacteria;k__unclassified_d__Bacteria;p__Actinobacteria,0.035459561,0.062160035,0.052683921,0.006587544,0.151307249,0.184919079,0.040906202,0.197112089,0.019227456,0.1116905,0.010715993,0.118118074,0.101470921,0.052810629,0.045077278,0.068002774,0.026509468,0.025157421,0.073402174,0.034372718,0.052293179,0.069950624,0.202659722,0.026154272,0.074035381,0.021491247,0.028947819,0.059371938,0.261574007,0.082454643,0.069167427,0.21589258,0.046752239,0.043551488,0.0652779,0.173445651,0.08083396,0.069918932,0.041868042,0.048282215,0.057720621,0.093049218,0.23202954,0.126460327,0.087154862,0.105457622,0.031194925,0.016753762,0.11393495,0.119965074,0.196411321,0.057073583,0.036144848,0.02483717,0.152240126,0.015682195,0.063134052,0.197228516,0.075639713,0.593348115,0.062304901,0.021085022,0.022983115,0.073086271,0.027924673,0.016146589,0.128667153,0.08033262,0.087172949,0.069450318,0.260465489,0.269876388,0.569978689,0.028244744,0.197003363,0.024683983,0.041871666,0.030527951,0.368414385,0.034341079,0.061810152,0.205205939,0.045265086,0.040876148,0.273505822,0.0548874,0.094128246,0.036544896,0.021098636,0.034728074,0.091531129,0.005885297,0.150568903,0.171784522,0.041626127,0.589291339,0.056383762,0.015076343,0.012809039,0.148573905,0.483394661,0.029575401,0.54202909,0.066859202,0.048048405,0.061446648,0.016109363,0.365161885,0.019458135,0.130734626,0.744894817,0.015803015,0.062534952,0.085622022,0.043059861,0.19571015,0.061172755,0.332465666,0.023239887
d__Bacteria;k__unclassified_d__Bacteria;p__Bacteroidota,0.01970647,0.243285073,0.063108221,0.012230093,0.065045612,0.093923027,0.101209348,0.002379255,0.010393146,0.00878169,0.015136867,0.007141968,0.00296588,0.126844384,0.015738702,0.025552017,0.014827991,0.034534279,0.034697648,0.031795703,0.030206739,0.007059972,0.023795692,0.071765761,0.02173806,0.096286556,0.031418983,0.04741537,0.011269993,0.049315388,0.073172823,0.002147321,0.010067548,0.116547628,0.009985101,0.002178958,0.020319267,0.122638758,0.077257462,0.054781404,0.015085023,0.016644222,0.02508566,0.004117202,0.00411298,0.004690278,0.004594567,0.021994326,0.020659554,0.141009121,0.045406121,0.021860847,0.064978898,0.012251538,0.123843379,0.004689721,0.009643188,0.023469068,0.110472122,0.004388207,0.135121852,0.053676914,0.049827464,0.007994814,0.071157994,0.006159929,0.080085682,0.004614003,0.120918967,0.073820999,0.002457421,0.006956077,0.013071515,0.197766124,0.002460344,0.070492521,0.078929953,0.236031083,0.008370888,0.172837139,0.024782867,0.042752442,0.019656924,0.09194578,0.029742613,0.014048114,0.050880311,0.197245727,0.09385403,0.068627264,0.066881689,0.004353071,0.055613667,0.054041596,0.060361953,0.002919721,0.068868903,0.198832127,0.0007933,0.113475896,0.007649112,0.284422591,0.011595341,0.012532422,0.013525611,0.069598402,0.115436043,0.116290826,0.175339951,0.058615677,0.002949778,0.002706928,0.046421574,0.375821755,0.168137368,0.103812211,0.017130256,0.043316523,0.061144554
d__Bacteria;k__unclassified_d__Bacteria;p__Proteobacteria,0.004363723,0.001989735,0.003993206,0.039627428,0.005181987,0.069753906,0.007324211,0.006662216,0.008076002,0.021676237,0.43387953,0.03596362,0.015993335,0.008529623,0.007379924,0.04150316,0.001712565,0.076047673,0.010267987,0.043681517,0.008922558,0.010024358,0.003290869,0.018593396,0.406913204,0.009779149,0.011692063,0.02120158,0.006432157,0.004825059,0.013292286,0.009092882,0.013580939,0.002703778,0.073811163,0.204514026,0.00380677,0.00243281,0.013971102,0.001691954,0.333555674,0.002209428,0.004013906,0.384924008,0.046244572,0.003721844,0.214755418,0.001825536,0.016348363,0.005554978,0.003894639,0.00656113,0.005776403,0.018842652,0.006247159,0.003031958,0.009286862,0.014135257,0.004561224,0.013696524,0.02008472,0.008658491,0.034396941,0.008559578,0.010481222,0.076756353,0.004359781,0.038724168,0.023512444,0.009252043,0.002899732,0.032678685,0.004112756,0.019883282,0.016461586,0.006003104,0.003587949,0.014982611,0.002810651,0.029804767,0.026888941,0.012178839,0.368450518,0.010977541,0.002338536,0.012136281,0.004078805,0.005037749,0.403661479,0.404072975,0.008142792,0.01258811,0.003787644,0.005994949,0.004774162,0.015884151,0.005118067,0.014654902,0.103734002,0.043717774,0.002632612,0.00962256,0.003025786,0.001154707,0.017076316,0.309173582,0.02305246,0.008209565,0.009755358,0.00487687,0.131307445,0.056021298,0.162137442,0.026437144,0.003043555,0.004712385,0.001201641,0.007424233,0.049618849
d__Bacteria;k__unclassified_d__Bacteria;p__unclassified_d__Bacteria,0.007791071,0.008061672,0.002739864,0.00578521,0.007236368,0.005618291,0.005563783,0.004942566,0.005675495,0.005630275,0.006727059,0.004320707,0.00588242,0.004641015,0.004136146,0.006031983,0.007030964,0.005015467,0.005510875,0.004843021,0.004815144,0.005762948,0.005820848,0.00527105,0.007377362,0.005515046,0.004900637,0.00589466,0.004980391,0.006554951,0.007072085,0.006477362,0.007881718,0.005105917,0.008156019,0.009610384,0.005322427,0.005834112,0.00679125,0.007303203,0.007027857,0.005108034,0.004916732,0.008201359,0.004876503,0.006330152,0.005212523,0.008964939,0.00571662,0.005373985,0.006803165,0.00547416,0.009540096,0.004909675,0.005030761,0.004737875,0.005685689,0.004532118,0.006853735,0.003260115,0.00573443,0.006126821,0.006975834,0.010305392,0.006930311,0.006089196,0.007041002,0.005051413,0.004889753,0.006494985,0.005611028,0.006761584,0.004008311,0.007231329,0.006135099,0.004576629,0.006050998,0.00475216,0.003645121,0.007198741,0.005788987,0.006744387,0.007190089,0.004705758,0.005725778,0.004225719,0.006436115,0.00686162,0.008105373,0.008057304,0.005874159,0.003673543,0.005069565,0.009055065,0.006755367,0.004758411,0.00620105,0.006399225,0.001865504,0.007406623,0.004636366,0.007108755,0.005685104,0.004453631,0.005034858,0.009292396,0.007842823,0.00657553,0.006264387,0.006299446,0.0075125,0.00143582,0.005121005,0.008531695,0.009220165,0.005464294,0.004467785,0.004639173,0.00462466
d__Archaea;k__unclassified_d__Archaea;p__Euryarchaeota,0.000140771,1.74E-05,3.67E-05,1.70E-05,6.93E-06,1.23E-05,2.87E-06,1.05E-05,1.85E-06,6.58E-06,0.074158988,2.55E-05,9.87E-05,0.001056204,6.52E-05,0.003172802,7.96E-06,3.75E-06,4.98E-06,2.25E-06,1.49E-05,1.35E-05,6.64E-06,1.58E-05,7.21E-06,0.003876358,3.63E-05,4.13E-06,9.39E-06,9.70E-06,1.01E-05,5.73E-06,3.06E-06,8.34E-06,1.43E-05,1.36E-05,1.36E-06,0.000805391,9.83E-06,0.026946065,0.006735032,3.01E-06,4.01E-06,6.80E-05,9.55E-06,5.34E-06,0.002606155,1.29E-05,3.24E-06,6.66E-06,7.71E-06,2.02E-05,1.41E-05,4.81E-05,1.43E-05,2.38E-06,4.06E-05,5.20E-06,5.63E-06,3.68E-05,0.0014745,1.14E-05,2.92E-06,0.12898273,4.48E-06,7.77E-05,2.58E-06,9.23E-06,2.30E-05,5.52E-06,2.36E-06,9.30E-06,0.000137624,1.42E-05,3.05E-06,1.46E-05,1.19E-05,4.18E-06,5.86E-05,3.56E-05,4.48E-05,0.008165848,0.00828384,0.001319797,4.10E-06,1.87E-05,0.025279143,9.81E-06,2.32E-05,8.43E-06,2.34E-05,1.94E-05,0.000785892,2.27E-05,1.52E-05,3.45E-06,1.74E-05,8.48E-06,1.59E-05,8.58E-05,5.58E-06,4.34E-06,5.82E-06,7.62E-06,2.36E-05,0.007750093,7.47E-06,4.45E-06,0.06717468,6.22E-05,1.60E-05,6.17E-05,4.45E-06,4.50E-06,0.000669384,5.28E-06,6.85E-06,2.32E-06,3.94E-06
d__Bacteria;k__unclassified_d__Bacteria;p__Verrucomicrobia,0.000126128,0.000464765,4.15E-05,7.56E-05,0.005950085,9.05E-05,0.000103284,3.03E-05,0.000126772,0.000138519,0.002193056,7.77E-05,8.08E-05,4.04E-05,0.029021355,5.09E-05,2.93E-05,0.000364801,0.000506219,0.008189058,8.36E-05,0.000368159,0.002105267,0.004527115,2.88E-05,0.000158626,0.002660628,0.000589911,0.000130029,0.000310972,0.000101897,4.83E-05,8.18E-05,0.000125185,0.005918373,6.16E-05,8.85E-05,0.004524575,0.000173114,0.001871163,0.000282916,0.000345443,9.45E-05,4.97E-05,0.00063688,6.69E-05,3.92E-05,4.10E-05,6.07E-05,0.000180731,6.83E-05,8.12E-05,4.63E-05,0.00247839,0.000120405,8.27E-05,0.0001056,0.000441126,0.001067592,1.22E-05,6.78E-05,6.65E-05,0.000213418,0.031175457,9.16E-05,0.003165812,0.003808672,0.00084745,6.22E-05,0.000114092,5.66E-05,0.030058747,7.79E-05,0.003993142,5.76E-05,0.000163985,0.003274717,0.000492691,2.88E-05,0.000898966,0.003962573,0.002041149,0.000413225,0.000151566,0.009128452,7.65E-05,0.000162318,0.000133385,7.82E-05,7.15E-05,0.000438188,9.42E-05,0.000141561,0.001887949,0.000154259,3.04E-05,0.001776606,0.002235275,3.60E-06,6.83E-05,0.004518438,0.000184125,0.003373424,0.000141194,5.27E-05,0.000159676,0.000235836,0.0001496,0.000145864,0.000236254,9.87E-06,9.36E-06,5.61E-05,0.000207977,0.004636358,8.76E-05,0.000124971,0.003543623,6.87E-05
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Melainabacteria,9.55E-06,3.98E-05,7.41E-06,0.000193378,0.000148204,0.000108656,7.89E-05,0.000166306,1.69E-05,4.49E-05,8.02E-06,0.004893341,1.45E-06,8.90E-05,1.48E-05,2.22E-05,5.63E-05,6.01E-05,4.37E-05,8.99E-07,0.000120404,0.000249039,0.000133033,0.001261523,1.56E-05,6.61E-05,0.000670062,2.11E-05,0.000660164,6.95E-05,0.000176979,1.68E-05,3.87E-06,5.97E-06,0.000337393,3.82E-06,2.81E-05,8.04E-05,0.000253089,0.001333269,1.53E-05,9.43E-06,0.000192814,4.23E-05,0.001563701,2.97E-05,0.000116361,7.08E-05,2.30E-05,0.00013349,3.29E-05,5.51E-05,8.07E-05,0.000635954,6.62E-05,0.000192817,7.02E-05,1.04E-05,2.84E-05,1.47E-06,0.00012199,0.000342494,5.44E-05,0.027145581,1.20E-05,3.08E-05,0.000254967,0.001884326,8.06E-05,3.33E-05,2.98E-06,6.27E-05,4.85E-06,0.00012258,1.01E-05,6.37E-06,5.87E-05,0.000212146,8.07E-06,7.98E-05,4.68E-05,3.13E-05,1.43E-05,0.000132283,0.000219432,0.000152349,0.000309075,0.0002168,0.000118702,2.22E-05,0.000136671,0.000131937,2.69E-05,0.00427255,9.62E-05,1.65E-06,4.00E-05,4.36E-05,4.24E-07,0.000125924,4.63E-05,9.57E-05,1.17E-05,4.33E-05,0.000199863,0.000335855,1.61E-05,1.09E-05,1.84E-05,0.001649681,0,2.05E-06,7.67E-06,5.00E-06,0.000214559,4.86E-05,3.70E-05,9.38E-06,0.000172396
d__Bacteria;k__unclassified_d__Bacteria;p__Tenericutes,7.19E-06,0.000567033,2.22E-05,2.72E-05,3.13E-05,5.18E-06,1.87E-05,2.98E-05,4.97E-05,9.22E-06,7.18E-05,4.78E-05,2.52E-05,0.000334703,5.21E-05,2.68E-05,8.41E-05,2.28E-05,6.71E-06,3.73E-05,6.62E-05,4.88E-05,1.50E-05,3.18E-05,4.42E-05,8.84E-05,4.57E-05,2.14E-05,0.000120635,4.95E-05,1.13E-05,2.39E-05,3.78E-05,6.69E-05,0.000182364,8.23E-05,4.31E-05,0.000389483,9.16E-06,0.003915936,0.001813433,1.55E-05,5.00E-06,1.69E-05,0.000277059,2.72E-05,6.72E-05,0.000131004,2.09E-05,3.32E-05,3.97E-05,1.02E-05,0.000144587,6.62E-05,1.90E-05,4.17E-06,9.26E-05,6.20E-05,0.000113743,0.000149449,2.55E-05,4.83E-05,7.45E-06,0.004415939,9.62E-05,7.86E-06,4.70E-06,0.000228444,0.000129734,0.000113074,5.49E-05,0.000587936,1.13E-05,3.65E-05,3.50E-05,1.03E-05,2.07E-05,1.76E-05,0.004575781,0.000342083,0.00025628,2.66E-05,0.002063794,7.70E-05,1.49E-05,7.35E-05,0.000538638,7.87E-05,2.90E-05,8.22E-05,0.001671313,1.77E-05,4.48E-05,7.08E-05,9.55E-05,2.03E-05,3.16E-05,1.71E-05,4.38E-05,0.001985993,2.23E-05,3.36E-05,4.62E-06,1.71E-05,0.000101341,0.00221283,1.27E-05,1.90E-05,1.82E-05,3.56E-06,0.00011904,4.62E-05,1.61E-05,3.44E-05,2.89E-05,2.75E-05,1.75E-05,4.33E-05,0.000155212
d__unclassified;k__unclassified_d__unclassified;p__unclassified_d__unclassified,0.000132558,0.000238626,6.07E-05,0.000269087,0.000186069,0.000238472,0.000165001,0.000180828,0.000230857,0.000177793,0.000216156,0.000153817,0.000153778,0.000184873,9.92E-05,0.000110327,7.63E-05,0.000206655,0.000206263,9.06E-05,0.000260668,0.000471202,0.000268464,0.000201061,0.000254606,0.000187638,0.000121849,0.000152055,0.000495377,0.000313398,0.000200219,0.000280738,0.000333264,0.000100493,0.000293949,0.000610934,9.81E-05,0.000228686,0.00014901,0.00017537,0.000185726,8.91E-05,0.000206958,0.000477804,0.000162325,0.000157103,0.000119641,8.41E-05,0.000217108,0.000187854,0.000513876,0.000224251,9.98E-05,7.11E-05,0.00026142,0.000314445,5.82E-05,0.000203022,0.000253157,0.000476511,8.63E-05,0.000151665,0.000126395,0.000192039,9.56E-05,0.000140527,0.000337948,0.000207121,8.79E-05,0.000150301,0.000206627,0.000161615,0.000221429,0.000226293,8.65E-05,9.88E-05,0.000241675,0.000110648,0.000108021,0.000260278,0.000146409,0.000555704,0.00018268,0.000286816,0.000250671,0.000311954,0.000145621,0.000428399,0.000171841,0.000179349,0.000155651,0.00010182,0.00013631,0.000166407,0.000208199,0.000522417,0.000274968,8.71E-05,8.40E-05,0.000409647,0.000262887,0.000165263,0.000357792,0.000126562,0.000362393,0.000257515,0.000178478,0.000803339,0.000117092,0.000261039,0.000625704,0.000100092,0.000117215,0.000157723,0.000152977,0.000289692,0.000125504,0.000145729,0.000124232
d__Bacteria;k__unclassified_d__Bacteria;p__Fusobacteria,1.28E-05,2.66E-05,0.001323495,2.06E-05,1.32E-05,2.17E-05,0.000224182,7.85E-06,1.16E-05,2.04E-05,4.46E-06,3.62E-05,1.50E-05,7.33E-05,1.76E-05,2.46E-05,1.40E-05,9.43E-06,1.47E-05,1.16E-05,2.29E-05,0.000140772,8.99E-06,7.45E-06,7.65E-06,1.16E-05,4.12E-05,1.38E-05,3.52E-05,8.68E-05,0.0002088,5.93E-06,1.73E-05,4.13E-05,0.000915523,9.13E-06,1.23E-05,1.19E-05,1.12E-05,0.000116451,4.15E-05,2.60E-05,6.05E-06,1.05E-05,3.42E-05,8.40E-06,2.42E-05,2.29E-05,8.79E-06,1.39E-05,1.05E-05,9.50E-06,2.93E-05,6.85E-05,6.73E-06,3.07E-05,1.22E-05,9.12E-06,1.45E-05,5.22E-06,5.49E-05,3.02E-05,4.63E-05,2.33E-05,1.00E-05,3.61E-05,1.22E-05,3.32E-05,7.38E-05,1.23E-05,5.40E-06,3.67E-05,5.44E-06,4.90E-05,7.69E-06,4.99E-06,0.001637167,1.12E-05,1.71E-05,1.75E-05,0.000653605,4.16E-05,4.44E-05,7.75E-06,2.47E-05,2.06E-05,7.45E-05,3.69E-05,0.000192283,0.000187653,3.61E-06,0.002591521,6.61E-05,3.30E-05,2.72E-05,4.18E-05,1.75E-05,5.65E-06,0.000663707,1.94E-05,1.21E-05,9.41E-06,5.58E-06,6.60E-06,3.54E-05,1.03E-05,6.89E-05,1.49E-05,0.00024082,6.60E-06,1.14E-05,0.002950015,2.17E-05,7.98E-06,6.24E-05,3.21E-05,5.82E-06,8.61E-06,0.00015127
d__Bacteria;k__unclassified_d__Bacteria;p__Fibrobacteres,9.19E-05,0.000147787,4.59E-05,0.000172094,0.000102581,0.000117272,8.29E-05,2.84E-05,0.000177028,8.51E-05,3.68E-05,4.99E-05,0.000119303,0.000146444,0.000118918,7.74E-05,6.62E-05,0.000107357,9.51E-05,5.96E-05,0.000119666,5.51E-05,7.32E-05,0.000129949,0.00022,9.54E-05,0.000130607,0.000135591,7.67E-05,8.71E-05,8.60E-05,8.09E-05,0.000247865,8.77E-05,9.88E-05,6.45E-05,0.000106019,8.98E-05,9.52E-05,0.000185767,5.99E-05,9.93E-05,0.000104071,3.82E-05,0.000126644,0.000157599,6.90E-05,7.29E-05,0.000201412,9.34E-05,3.38E-05,7.94E-05,5.75E-05,0.000139847,8.70E-05,0.000113983,0.000127804,7.73E-05,0.000103591,3.16E-05,6.20E-05,8.79E-05,0.000162074,4.35E-05,0.000122992,8.71E-05,7.35E-05,0.000145825,4.56E-05,0.000133696,8.88E-05,7.56E-05,2.60E-05,0.000140783,0.000197973,0.000123365,6.98E-05,0.000101893,6.75E-05,9.44E-05,0.000318115,4.27E-05,5.07E-05,0.000111652,7.97E-05,0.000116357,5.94E-05,0.000135426,4.03E-05,4.83E-05,8.40E-05,8.89E-05,9.53E-05,7.30E-05,6.26E-05,2.72E-05,9.71E-05,0.0001014,1.93E-05,5.76E-05,6.61E-05,0.000164496,4.60E-05,0.000145071,0.000294878,3.21E-05,0.000122987,7.17E-05,7.27E-05,5.15E-05,5.95E-06,2.52E-05,0.000209892,0.000193981,0.000116722,3.79E-05,0.000138834,5.98E-05,1.89E-05
d__Bacteria;k__unclassified_d__Bacteria;p__Spirochaetes,3.86E-05,3.30E-05,3.00E-05,0.000152999,3.71E-05,1.27E-05,4.06E-05,4.62E-05,6.76E-05,4.00E-05,6.83E-05,5.19E-05,3.13E-05,0.000121431,4.40E-05,3.85E-05,2.72E-05,3.62E-05,6.06E-05,3.99E-05,3.79E-05,3.30E-05,6.39E-05,7.11E-05,1.54E-05,3.56E-05,8.40E-05,7.58E-05,3.88E-05,3.78E-05,4.42E-05,0.000105495,2.89E-05,2.17E-05,5.16E-05,2.12E-05,3.00E-05,3.63E-05,3.05E-05,8.36E-05,6.51E-05,0.000142374,2.72E-05,3.96E-05,3.93E-05,6.11E-05,2.45E-05,3.58E-05,4.87E-05,3.55E-05,3.36E-05,4.96E-05,3.54E-05,0.000110384,2.87E-05,4.55E-05,5.81E-05,6.32E-05,0.000108182,8.56E-06,5.12E-05,7.94E-05,3.34E-05,7.10E-05,0.000132991,5.34E-05,8.58E-05,3.99E-05,2.37E-05,3.92E-05,5.36E-05,7.90E-05,8.62E-05,4.24E-05,2.53E-05,0.000117536,9.37E-05,6.88E-05,2.52E-05,2.19E-05,3.72E-05,5.16E-05,5.67E-05,3.72E-05,6.12E-05,4.06E-05,4.75E-05,7.87E-05,1.91E-05,2.20E-05,3.97E-05,8.00E-05,7.61E-05,4.04E-05,3.41E-05,5.02E-05,4.17E-05,1.63E-05,6.36E-06,0.00011115,3.15E-05,5.47E-05,2.64E-05,4.03E-05,9.50E-05,2.86E-05,6.13E-05,3.43E-05,6.56E-05,3.80E-05,3.92E-06,8.74E-06,5.46E-05,4.47E-05,0.000148934,4.86E-05,3.94E-05,1.48E-05,2.68E-05
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Saccharibacteria,1.31E-05,3.17E-06,0.000191884,1.90E-05,7.39E-06,0.000105487,7.81E-05,4.45E-06,6.72E-05,6.49E-05,3.96E-05,2.49E-05,5.77E-05,1.94E-05,6.01E-05,2.99E-05,3.34E-05,0.000191904,2.72E-05,3.70E-05,1.99E-05,4.57E-05,7.75E-06,2.10E-05,3.04E-05,3.59E-06,6.01E-05,6.67E-06,5.37E-05,2.92E-05,1.97E-06,1.48E-05,0.000197643,2.68E-05,6.44E-05,1.24E-05,9.75E-06,7.23E-06,2.17E-05,2.58E-05,7.34E-05,1.80E-05,3.74E-05,7.27E-05,3.78E-05,3.62E-05,6.78E-05,5.32E-05,0.000146082,3.04E-05,0.000123235,3.23E-05,3.71E-05,6.79E-05,1.52E-05,2.20E-05,1.18E-05,3.41E-05,0.000127258,4.42E-06,1.86E-05,2.37E-05,3.25E-05,8.97E-06,6.26E-06,1.75E-06,1.57E-05,3.24E-05,5.86E-06,1.59E-05,6.73E-05,3.14E-05,6.86E-06,1.70E-05,5.47E-05,3.67E-06,8.69E-06,5.76E-06,2.80E-05,1.20E-05,0.000322778,1.11E-05,0.000103958,1.44E-05,1.67E-05,1.49E-05,9.59E-05,6.39E-06,1.90E-05,2.06E-05,8.14E-06,7.43E-05,2.00E-05,6.91E-05,2.12E-05,0.000127925,8.10E-05,2.08E-05,0.000294115,2.46E-05,7.90E-06,2.44E-05,1.11E-05,7.71E-05,0.000223582,9.26E-06,3.53E-06,1.00E-05,2.98E-05,1.53E-05,0.000123185,0.000625557,2.03E-05,1.80E-05,3.87E-05,3.37E-07,7.80E-05,2.83E-05,4.73E-07
d__Bacteria;k__unclassified_d__Bacteria;p__Chlamydiae,2.55E-07,1.32E-07,2.41E-05,7.11E-06,3.58E-06,1.79E-07,2.20E-06,2.78E-07,7.74E-07,8.12E-06,1.95E-05,9.43E-05,1.56E-05,0.000125945,1.86E-06,1.17E-06,2.65E-07,5.58E-07,4.84E-07,1.42E-06,5.90E-06,1.22E-06,3.85E-07,7.36E-07,3.78E-05,6.08E-08,3.78E-05,4.45E-07,1.19E-05,7.33E-07,2.62E-06,8.38E-07,2.30E-06,2.18E-05,5.73E-06,6.47E-08,2.61E-07,6.40E-08,1.67E-07,1.60E-06,1.39E-05,2.05E-07,1.97E-07,8.78E-07,4.96E-06,2.90E-07,9.20E-06,1.19E-07,8.55E-07,2.87E-06,3.27E-05,9.05E-07,7.39E-05,1.94E-05,8.40E-06,2.98E-07,6.49E-05,2.14E-06,4.71E-05,4.27E-05,2.90E-06,5.78E-06,5.96E-07,6.19E-06,0.000251107,6.05E-07,2.29E-07,5.60E-06,0.000101547,8.03E-07,3.73E-07,9.04E-07,3.02E-06,1.81E-07,1.07E-06,1.32E-06,4.41E-05,4.78E-05,4.33E-05,9.76E-07,0.000540476,2.51E-06,1.36E-05,6.74E-08,3.06E-05,6.65E-06,3.16E-05,1.98E-06,7.74E-06,9.48E-06,1.31E-07,1.27E-06,0.000101151,7.25E-07,1.46E-05,3.00E-07,2.20E-07,1.25E-05,1.11E-06,1.64E-06,5.24E-06,1.57E-05,5.67E-06,1.48E-06,3.89E-05,3.91E-05,0,3.45E-05,6.87E-05,2.93E-06,0,1.35E-06,6.09E-08,0.001054025,5.29E-05,8.54E-05,1.35E-06,5.34E-07,4.73E-07
d__Bacteria;k__unclassified_d__Bacteria;p__Synergistetes,9.87E-06,3.57E-06,8.13E-06,4.50E-06,5.60E-06,5.76E-06,5.86E-05,2.04E-05,5.78E-06,1.02E-06,7.48E-05,6.08E-06,2.49E-05,8.29E-05,2.50E-06,3.62E-05,1.92E-06,5.52E-06,5.53E-07,2.55E-06,3.29E-06,1.66E-05,6.38E-06,2.22E-05,8.87E-07,2.49E-05,2.87E-06,8.58E-06,3.29E-06,5.02E-06,1.97E-06,1.17E-05,4.86E-06,6.89E-06,3.42E-06,1.96E-05,2.66E-06,4.93E-06,0.00012735,2.27E-05,2.93E-06,3.62E-06,8.35E-06,1.76E-06,5.19E-06,1.64E-05,1.50E-06,1.73E-06,6.11E-08,4.18E-06,2.19E-05,1.31E-06,8.53E-07,1.70E-06,4.09E-06,4.91E-06,7.83E-05,4.90E-07,1.75E-06,1.94E-06,2.26E-05,6.87E-06,1.91E-05,1.35E-06,2.81E-06,0.000946069,1.26E-06,5.92E-06,7.20E-05,8.20E-06,7.82E-06,4.20E-06,2.48E-06,3.21E-06,1.60E-06,4.87E-06,4.71E-05,3.50E-06,5.67E-06,0.000138059,4.98E-06,6.37E-06,6.99E-06,4.40E-05,3.24E-06,2.81E-06,2.61E-06,0.000124694,2.32E-06,2.54E-06,1.64E-05,1.41E-07,2.57E-05,7.51E-06,1.79E-06,2.77E-06,6.17E-06,0.000299025,5.30E-08,2.33E-05,1.23E-06,3.17E-06,1.24E-06,2.03E-06,6.94E-06,1.09E-05,2.27E-05,5.70E-06,0.000182441,6.75E-06,9.91E-07,5.75E-07,2.62E-06,1.89E-06,0.000343977,7.30E-06,2.38E-06,4.33E-06,6.31E-07
